,NOSE_TIP,PH_BULB,NERVE_RING,angle
177,"[492.8901978, 100.7319794]","[489.743866, 133.1843872]","[475.353363, 176.4727325]",12.85
178,"[490.4323425, 97.91477203]","[486.4165649, 129.2802582]","[475.4558105, 173.876358]",6.51
179,"[502.637146, 102.6386337]","[483.836853, 130.355011]","[468.8904419, 170.7001648]",-13.82
180,"[519.9970093, 114.3551559]","[487.1060486, 127.7093201]","[467.3846436, 161.0146179]",-37.27
181,"[530.163208, 127.6958313]","[498.5903625, 128.3109894]","[468.8923645, 150.119812]",-35.18
182,"[532.3498535, 140.9597168]","[509.5856934, 132.8762665]","[479.1878052, 133.2869873]",-20.32
183,"[535.8127441, 152.0187988]","[515.2114868, 139.7970734]","[483.1709595, 134.1517639]",-20.69
184,"[548.0727539, 157.4933472]","[520.4741821, 151.1730347]","[491.5350037, 140.403717]",7.51
185,"[554.182251, 160.5084991]","[525.2943726, 156.5141296]","[492.6221313, 149.3489838]",4.5
186,"[556.4760132, 172.6754761]","[528.552002, 160.6275635]","[493.3514099, 151.742157]",-9.17
187,"[548.7095337, 195.6501923]","[525.6313477, 170.5875244]","[494.2062683, 157.5285339]",-24.79
188,"[544.9119873, 210.8146362]","[526.3890381, 184.3893433]","[500.0884399, 166.8206635]",-21.23
189,"[540.588623, 220.2861481]","[522.9998169, 194.5166016]","[498.0299683, 172.7137909]",-14.56
190,"[541.9198608, 235.7691498]","[525.5155029, 204.547226]","[500.7063904, 178.5988922]",-16.0
191,"[535.4641113, 247.1917267]","[518.9885864, 213.9205933]","[497.3579102, 190.0843964]",-15.88
192,"[535.293457, 260.4425964]","[515.967041, 228.3659515]","[497.3818054, 203.5726166]",-5.79
193,"[544.1364136, 266.427124]","[513.9707642, 247.2631531]","[494.7354431, 216.313736]",25.71
194,"[549.9202271, 270.8705139]","[510.7146912, 256.411499]","[492.2764587, 225.1021423]",39.26
195,"[551.9586792, 273.9389954]","[513.6096802, 267.2088013]","[490.1842957, 238.4966736]",40.84
196,"[558.2866821, 268.1947021]","[522.5460815, 275.7333679]","[495.1109009, 255.286972]",48.61
197,"[558.9404297, 262.8656616]","[528.4432983, 276.226532]","[496.3273315, 267.2642822]",39.25
198,"[561.8740845, 260.3890686]","[529.2661133, 274.4156494]","[493.0679016, 268.6620789]",32.31
199,"[564.2821655, 262.7164307]","[527.6026611, 273.6589966]","[488.576416, 270.6654663]",21.0
200,"[565.0941162, 262.7557068]","[528.8388672, 273.8675842]","[484.8597717, 273.1504517]",17.97
201,"[565.3868408, 260.3609009]","[529.0720825, 272.5466003]","[484.2131653, 274.9099121]",15.53
202,"[570.4223633, 265.4779968]","[532.22052, 270.9292908]","[484.7565918, 274.9785767]",3.24
203,"[565.5135498, 263.4958191]","[530.4315186, 271.3841858]","[483.4002686, 275.5413208]",7.62
204,"[563.019104, 253.4075928]","[531.5145264, 271.6986389]","[493.2108765, 277.5095825]",21.51
205,"[548.8270264, 239.1650085]","[530.8225098, 267.7415466]","[490.4962769, 277.3602295]",44.37
206,"[539.7877197, 225.8514709]","[529.0148926, 256.8179321]","[501.8949585, 278.4732361]",32.21
207,"[535.5567627, 215.6092072]","[526.078186, 250.3854218]","[503.5996399, 276.3530579]",25.63
